iter	Passed	Remaining
0	146	43876
1	150	22350
2	153	15192
3	156	11610
4	160	9470
5	163	8029
6	168	7032
7	171	6251
8	174	5647
9	177	5160
10	181	4764
11	184	4427
12	187	4144
13	191	3902
14	194	3689
15	197	3512
16	203	3383
17	206	3230
18	209	3096
19	212	2980
20	216	2873
21	219	2775
22	222	2685
23	226	2607
24	230	2531
25	233	2458
26	236	2389
27	240	2334
28	243	2275
29	246	2217
30	249	2166
31	252	2117
32	256	2073
33	259	2028
34	263	1993
35	266	1954
36	269	1915
37	272	1879
38	275	1845
39	279	1815
40	282	1784
41	286	1759
42	290	1734
43	293	1705
44	296	1678
45	299	1652
46	302	1629
47	306	1611
48	309	1587
49	313	1565
50	316	1543
51	319	1524
52	322	1503
53	326	1485
54	329	1467
55	332	1450
56	336	1432
57	339	1416
58	342	1400
59	346	1384
60	349	1370
61	352	1354
62	357	1343
63	360	1328
64	363	1314
65	367	1302
66	370	1287
67	374	1276
68	378	1266
69	381	1253
70	384	1241
71	388	1230
72	392	1219
73	396	1210
74	400	1200
75	403	1188
76	407	1179
77	410	1168
78	413	1157
79	417	1146
80	420	1136
81	423	1125
82	431	1128
83	435	1119
84	438	1109
85	441	1099
86	445	1090
87	448	1081
88	452	1072
89	455	1062
90	458	1052
91	462	1044
92	465	1036
93	469	1028
94	472	1020
95	476	1012
96	479	1004
97	483	996
98	486	987
99	490	980
100	493	972
101	496	963
102	499	955
103	502	946
104	505	938
105	508	931
106	511	922
107	515	915
108	518	908
109	521	900
110	525	894
111	528	886
112	531	880
113	535	873
114	540	869
115	544	862
116	547	856
117	550	849
118	553	841
119	556	834
120	559	827
121	562	820
122	565	813
123	568	807
124	571	800
125	575	794
126	580	790
127	583	784
128	586	777
129	589	771
130	593	765
131	596	759
132	599	752
133	602	746
134	605	739
135	609	734
136	612	728
137	615	722
138	618	716
139	623	712
140	627	707
141	630	701
142	633	695
143	639	693
144	644	688
145	648	683
146	651	678
147	655	672
148	658	667
149	663	663
150	668	659
151	673	655
152	676	650
153	680	645
154	687	643
155	690	637
156	694	632
157	698	627
158	702	622
159	705	617
160	708	612
161	712	606
162	716	601
163	721	598
164	724	593
165	728	587
166	731	582
167	735	577
168	738	572
169	741	567
170	744	561
171	748	556
172	753	552
173	757	548
174	760	543
175	764	538
176	767	533
177	771	528
178	774	523
179	777	518
180	782	514
181	786	509
182	789	505
183	794	500
184	797	495
185	802	491
186	806	487
187	810	482
188	813	477
189	817	473
190	820	468
191	823	463
192	832	461
193	836	456
194	839	451
195	842	446
196	845	441
197	848	437
198	853	433
199	857	428
200	860	423
201	864	419
202	867	414
203	870	409
204	874	405
205	877	400
206	881	396
207	884	391
208	887	386
209	890	381
210	893	377
211	896	372
212	900	367
213	903	363
214	906	358
215	909	353
216	912	348
217	915	344
218	918	339
219	921	335
220	925	330
221	928	326
222	931	321
223	935	317
224	939	313
225	942	308
226	946	304
227	949	299
228	953	295
229	956	291
230	959	286
231	962	282
232	965	277
233	968	273
234	971	268
235	974	264
236	977	259
237	981	255
238	984	251
239	987	246
240	990	242
241	993	238
242	996	233
243	999	229
244	1002	225
245	1005	220
246	1008	216
247	1011	212
248	1014	207
249	1018	203
250	1021	199
251	1024	195
252	1027	190
253	1030	186
254	1033	182
255	1036	178
256	1039	173
257	1043	169
258	1046	165
259	1049	161
260	1052	157
261	1055	153
262	1058	148
263	1061	144
264	1064	140
265	1067	136
266	1070	132
267	1073	128
268	1077	124
269	1081	120
270	1084	116
271	1087	111
272	1090	107
273	1093	103
274	1096	99
275	1099	95
276	1102	91
277	1105	87
278	1108	83
279	1111	79
280	1114	75
281	1117	71
282	1120	67
283	1123	63
284	1126	59
285	1129	55
286	1132	51
287	1135	47
288	1138	43
289	1142	39
290	1145	35
291	1148	31
292	1151	27
293	1154	23
294	1157	19
295	1161	15
296	1164	11
297	1167	7
298	1170	3
299	1174	0
